Date,Temperature,Precipitation,Humidity,Weather_Condition,Product_Category,Purchase_Amount,Number_of_Purchases,Year,Month,Month_Name,Day,Day_of_Week,Is_Weekend,Season
2022-01-01,6.8,0.0,60.9,Sunny,Cold Beverages & Ice Cream,173.59,22,2022,1,Jan,1,Saturday,1,Winter
2022-01-01,6.8,0.0,60.9,Sunny,Heating & Winter Apparel,3920.63,58,2022,1,Jan,1,Saturday,1,Winter
2022-01-01,6.8,0.0,60.9,Sunny,Hot Beverages & Soups,2665.05,210,2022,1,Jan,1,Saturday,1,Winter
2022-01-01,6.8,0.0,60.9,Sunny,Outdoor & Camping Gear,847.69,10,2022,1,Jan,1,Saturday,1,Winter
2022-01-01,6.8,0.0,60.9,Sunny,Rainwear & Umbrellas,456.33,17,2022,1,Jan,1,Saturday,1,Winter
2022-01-02,4.9,0.0,60.7,Sunny,Cold Beverages & Ice Cream,159.03,20,2022,1,Jan,2,Sunday,1,Winter
2022-01-02,4.9,0.0,60.7,Sunny,Heating & Winter Apparel,5500.94,81,2022,1,Jan,2,Sunday,1,Winter
2022-01-02,4.9,0.0,60.7,Sunny,Hot Beverages & Soups,2804.31,224,2022,1,Jan,2,Sunday,1,Winter
2022-01-02,4.9,0.0,60.7,Sunny,Outdoor & Camping Gear,418.85,5,2022,1,Jan,2,Sunday,1,Winter
2022-01-02,4.9,0.0,60.7,Sunny,Rainwear & Umbrellas,720.99,27,2022,1,Jan,2,Sunday,1,Winter
2022-01-03,7.1,0.0,59.4,Sunny,Cold Beverages & Ice Cream,45.37,5,2022,1,Jan,3,Monday,0,Winter
2022-01-03,7.1,0.0,59.4,Sunny,Heating & Winter Apparel,3143.37,51,2022,1,Jan,3,Monday,0,Winter
2022-01-03,7.1,0.0,59.4,Sunny,Hot Beverages & Soups,2009.33,165,2022,1,Jan,3,Monday,0,Winter
2022-01-03,7.1,0.0,59.4,Sunny,Outdoor & Camping Gear,429.07,5,2022,1,Jan,3,Monday,0,Winter
2022-01-03,7.1,0.0,59.4,Sunny,Rainwear & Umbrellas,711.77,25,2022,1,Jan,3,Monday,0,Winter
2022-01-04,9.5,0.0,64.0,Sunny,Cold Beverages & Ice Cream,44.63,5,2022,1,Jan,4,Tuesday,0,Winter
2022-01-04,9.5,0.0,64.0,Sunny,Heating & Winter Apparel,1955.74,30,2022,1,Jan,4,Tuesday,0,Winter
2022-01-04,9.5,0.0,64.0,Sunny,Hot Beverages & Soups,1638.94,131,2022,1,Jan,4,Tuesday,0,Winter
2022-01-04,9.5,0.0,64.0,Sunny,Outdoor & Camping Gear,1280.69,16,2022,1,Jan,4,Tuesday,0,Winter
2022-01-04,9.5,0.0,64.0,Sunny,Rainwear & Umbrellas,748.43,25,2022,1,Jan,4,Tuesday,0,Winter
2022-01-05,4.5,6.8,62.3,Rainy,Cold Beverages & Ice Cream,41.87,5,2022,1,Jan,5,Wednesday,0,Winter
2022-01-05,4.5,6.8,62.3,Rainy,Heating & Winter Apparel,4168.16,63,2022,1,Jan,5,Wednesday,0,Winter
2022-01-05,4.5,6.8,62.3,Rainy,Hot Beverages & Soups,2814.39,239,2022,1,Jan,5,Wednesday,0,Winter
2022-01-05,4.5,6.8,62.3,Rainy,Outdoor & Camping Gear,982.01,12,2022,1,Jan,5,Wednesday,0,Winter
2022-01-05,4.5,6.8,62.3,Rainy,Rainwear & Umbrellas,21007.83,792,2022,1,Jan,5,Wednesday,0,Winter
2022-01-06,4.5,18.5,74.5,Rainy,Cold Beverages & Ice Cream,51.54,6,2022,1,Jan,6,Thursday,0,Winter
2022-01-06,4.5,18.5,74.5,Rainy,Heating & Winter Apparel,4630.3,67,2022,1,Jan,6,Thursday,0,Winter
2022-01-06,4.5,18.5,74.5,Rainy,Hot Beverages & Soups,3159.51,247,2022,1,Jan,6,Thursday,0,Winter
2022-01-06,4.5,18.5,74.5,Rainy,Outdoor & Camping Gear,411.55,5,2022,1,Jan,6,Thursday,0,Winter
2022-01-06,4.5,18.5,74.5,Rainy,Rainwear & Umbrellas,81325.71,2711,2022,1,Jan,6,Thursday,0,Winter
2022-01-07,9.5,0.0,55.1,Sunny,Cold Beverages & Ice Cream,75.79,9,2022,1,Jan,7,Friday,0,Winter
2022-01-07,9.5,0.0,55.1,Sunny,Heating & Winter Apparel,1865.11,29,2022,1,Jan,7,Friday,0,Winter
2022-01-07,9.5,0.0,55.1,Sunny,Hot Beverages & Soups,1546.85,139,2022,1,Jan,7,Friday,0,Winter
2022-01-07,9.5,0.0,55.1,Sunny,Outdoor & Camping Gear,1817.32,21,2022,1,Jan,7,Friday,0,Winter
2022-01-07,9.5,0.0,55.1,Sunny,Rainwear & Umbrellas,334.57,12,2022,1,Jan,7,Friday,0,Winter
2022-01-08,7.2,15.1,63.6,Rainy,Cold Beverages & Ice Cream,134.02,15,2022,1,Jan,8,Saturday,1,Winter
2022-01-08,7.2,15.1,63.6,Rainy,Heating & Winter Apparel,3845.82,56,2022,1,Jan,8,Saturday,1,Winter
2022-01-08,7.2,15.1,63.6,Rainy,Hot Beverages & Soups,2815.98,253,2022,1,Jan,8,Saturday,1,Winter
2022-01-08,7.2,15.1,63.6,Rainy,Outdoor & Camping Gear,446.24,5,2022,1,Jan,8,Saturday,1,Winter
2022-01-08,7.2,15.1,63.6,Rainy,Rainwear & Umbrellas,66740.56,2321,2022,1,Jan,8,Saturday,1,Winter
2022-01-09,3.8,17.1,69.9,Rainy,Cold Beverages & Ice Cream,45.25,5,2022,1,Jan,9,Sunday,1,Winter
2022-01-09,3.8,17.1,69.9,Rainy,Heating & Winter Apparel,5436.67,88,2022,1,Jan,9,Sunday,1,Winter
2022-01-09,3.8,17.1,69.9,Rainy,Hot Beverages & Soups,3718.16,319,2022,1,Jan,9,Sunday,1,Winter
2022-01-09,3.8,17.1,69.9,Rainy,Outdoor & Camping Gear,439.99,5,2022,1,Jan,9,Sunday,1,Winter
2022-01-09,3.8,17.1,69.9,Rainy,Rainwear & Umbrellas,70108.74,2701,2022,1,Jan,9,Sunday,1,Winter
2022-01-10,6.6,15.1,66.1,Rainy,Cold Beverages & Ice Cream,43.66,5,2022,1,Jan,10,Monday,0,Winter
2022-01-10,6.6,15.1,66.1,Rainy,Heating & Winter Apparel,3277.97,51,2022,1,Jan,10,Monday,0,Winter
2022-01-10,6.6,15.1,66.1,Rainy,Hot Beverages & Soups,2555.31,218,2022,1,Jan,10,Monday,0,Winter
2022-01-10,6.6,15.1,66.1,Rainy,Outdoor & Camping Gear,392.59,5,2022,1,Jan,10,Monday,0,Winter
2022-01-10,6.6,15.1,66.1,Rainy,Rainwear & Umbrellas,56950.08,2094,2022,1,Jan,10,Monday,0,Winter
2022-01-11,3.7,0.0,57.8,Sunny,Cold Beverages & Ice Cream,39.74,5,2022,1,Jan,11,Tuesday,0,Winter
2022-01-11,3.7,0.0,57.8,Sunny,Heating & Winter Apparel,4618.01,71,2022,1,Jan,11,Tuesday,0,Winter
2022-01-11,3.7,0.0,57.8,Sunny,Hot Beverages & Soups,2424.24,194,2022,1,Jan,11,Tuesday,0,Winter
2022-01-11,3.7,0.0,57.8,Sunny,Outdoor & Camping Gear,1361.88,17,2022,1,Jan,11,Tuesday,0,Winter
2022-01-11,3.7,0.0,57.8,Sunny,Rainwear & Umbrellas,832.0,32,2022,1,Jan,11,Tuesday,0,Winter
2022-01-12,3.7,0.0,68.3,Sunny,Cold Beverages & Ice Cream,119.85,14,2022,1,Jan,12,Wednesday,0,Winter
2022-01-12,3.7,0.0,68.3,Sunny,Heating & Winter Apparel,4731.54,77,2022,1,Jan,12,Wednesday,0,Winter
2022-01-12,3.7,0.0,68.3,Sunny,Hot Beverages & Soups,2392.27,189,2022,1,Jan,12,Wednesday,0,Winter
2022-01-12,3.7,0.0,68.3,Sunny,Outdoor & Camping Gear,457.52,5,2022,1,Jan,12,Wednesday,0,Winter
2022-01-12,3.7,0.0,68.3,Sunny,Rainwear & Umbrellas,695.91,24,2022,1,Jan,12,Wednesday,0,Winter
2022-01-13,5.7,0.0,58.3,Sunny,Cold Beverages & Ice Cream,43.45,5,2022,1,Jan,13,Thursday,0,Winter
2022-01-13,5.7,0.0,58.3,Sunny,Heating & Winter Apparel,3727.73,62,2022,1,Jan,13,Thursday,0,Winter
2022-01-13,5.7,0.0,58.3,Sunny,Hot Beverages & Soups,1907.63,169,2022,1,Jan,13,Thursday,0,Winter
2022-01-13,5.7,0.0,58.3,Sunny,Outdoor & Camping Gear,393.76,5,2022,1,Jan,13,Thursday,0,Winter
2022-01-13,5.7,0.0,58.3,Sunny,Rainwear & Umbrellas,446.06,15,2022,1,Jan,13,Thursday,0,Winter
2022-01-14,-0.4,20.8,71.6,Snowy,Cold Beverages & Ice Cream,45.67,5,2022,1,Jan,14,Friday,0,Winter
2022-01-14,-0.4,20.8,71.6,Snowy,Heating & Winter Apparel,8667.82,139,2022,1,Jan,14,Friday,0,Winter
2022-01-14,-0.4,20.8,71.6,Snowy,Hot Beverages & Soups,3380.01,288,2022,1,Jan,14,Friday,0,Winter
